id,duration,trp0,trp1,trp2,trp3,trp4,trp5,trp6,trp7,grp
1,17,56.55,74.73,42.35,0.00,0.00,0.00,64.17,67.65,1.77
2,29,0.00,0.00,14.73,0.00,0.00,0.00,0.00,0.00,58.54
3,27,19.64,0.00,0.00,63.56,86.69,94.97,36.82,14.87,10.64
4,14,15.71,0.00,0.00,83.32,82.80,0.00,0.00,0.00,0.00
5,18,0.00,45.52,9.21,22.33,0.00,0.00,78.90,0.00,0.00
6,12,16.49,0.00,73.66,1.72,90.59,0.00,0.00,0.00,0.00
7,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,19,0.00,6.87,4.60,0.00,48.70,0.00,59.97,60.21,0.00
9,18,0.00,0.00,0.00,83.32,13.64,100.02,0.00,0.00,0.00
10,14,0.00,0.00,0.00,54.11,96.43,0.00,52.60,65.42,0.00
11,29,0.00,75.59,39.59,0.00,94.49,0.00,0.00,0.00,62.09
12,18,0.00,7.73,79.18,28.35,37.02,0.00,44.18,0.00,0.00
13,21,0.00,0.00,0.00,36.94,55.52,0.00,0.00,29.74,80.72
14,16,43.20,0.00,0.00,61.84,0.00,23.24,8.42,0.00,81.61
15,25,9.42,82.46,34.07,44.67,6.82,32.33,0.00,63.19,12.42
16,26,0.00,42.95,0.00,73.87,0.00,0.00,99.94,0.00,50.56
17,23,36.91,0.00,1.84,0.00,59.42,44.45,59.97,34.94,0.00
18,20,0.00,2.58,0.00,73.87,56.50,52.54,0.00,47.58,0.00
19,16,0.00,21.47,78.26,0.00,61.37,0.00,96.79,0.00,40.80
20,20,25.92,57.55,0.00,0.00,57.47,0.00,0.00,0.00,48.79
21,14,54.98,63.56,0.00,0.00,0.97,50.52,0.00,0.00,14.19
22,26,0.00,0.00,0.00,49.82,40.91,0.00,0.00,58.73,43.46
23,22,0.00,6.01,49.72,0.00,0.00,34.35,0.00,0.00,51.45
24,25,69.12,0.00,0.00,42.95,0.00,0.00,0.00,31.97,50.56
25,30,11.00,0.00,0.00,24.91,49.68,0.00,0.00,72.11,49.67
26,21,0.00,0.00,88.39,0.00,0.00,74.76,33.66,34.94,0.00
27,17,42.41,0.00,52.48,74.73,20.46,55.57,104.15,63.93,0.00
28,15,0.00,46.38,25.78,18.90,7.79,71.73,94.68,0.00,34.59
29,28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.62,0.00
30,25,0.00,50.68,0.00,73.01,23.38,4.04,0.00,46.09,0.00
31,14,0.00,23.19,0.00,0.00,0.00,13.13,75.75,55.01,42.58
32,18,0.00,0.00,0.00,0.00,0.00,0.00,31.56,49.81,45.24
33,23,55.76,64.42,6.44,19.76,0.00,87.90,0.00,0.00,0.00
34,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,21,0.00,0.00,0.00,0.00,20.46,0.00,72.59,18.58,0.00
36,14,32.20,0.00,0.00,51.54,52.60,0.00,0.00,0.00,0.00
37,10,23.56,0.00,39.59,0.00,0.00,0.00,73.64,51.29,0.00
38,15,0.00,71.29,0.00,0.00,0.00,49.51,0.00,27.51,0.00
39,15,36.91,0.00,0.00,9.45,86.69,0.00,0.00,22.30,36.37
40,19,0.00,0.00,57.08,0.00,30.20,0.00,38.92,0.00,0.00
41,18,0.00,0.00,0.00,33.50,65.26,0.00,48.39,68.39,39.92
42,21,30.63,0.00,4.60,31.78,54.55,92.95,86.27,0.00,14.19
43,11,0.00,0.00,29.46,0.00,73.06,24.25,0.00,26.76,47.01
44,29,0.00,0.00,58.92,67.86,0.00,33.34,79.95,57.98,0.00
45,26,0.00,0.00,5.52,0.00,29.22,53.55,0.00,34.20,47.01
46,13,0.00,34.36,58.92,0.00,96.43,0.00,0.00,0.00,85.16
47,19,0.00,0.00,75.50,0.00,0.00,92.95,61.02,0.00,0.00
48,22,0.00,33.50,20.26,12.88,33.12,0.00,0.00,48.32,36.37
49,17,45.55,58.41,0.00,0.00,22.40,47.48,0.00,53.52,0.00
50,29,62.83,0.00,82.86,0.00,0.00,77.79,67.33,68.39,0.00
51,14,0.00,62.70,43.27,61.84,0.00,10.10,0.00,34.94,54.11
52,23,0.00,0.00,0.00,17.18,0.00,0.00,98.89,0.00,49.67
53,30,14.92,0.00,0.00,34.36,0.00,0.00,0.00,66.91,0.00
54,11,0.00,0.00,51.56,0.00,2.92,0.00,0.00,42.37,8.87
55,16,62.05,58.41,7.37,0.00,20.46,95.98,0.00,0.00,0.00
