id,ts,duration,trp0,trp1,trp2,trp3,trp4,trp5,trp6,trp7,grp
1,1558411200,361,158.48,0,0,0,124.59,47.63,95.22,0,0
2,1558413000,361,31.82,0,0,137.89,58.27,145.05,37.70,50.00,0
3,1558414800,361,54.00,0,0,17.00,5.00,89.83,0,0,0
4,1558416600,361,11.39,0,0,125.16,22.72,187.38,0,0,0
5,1558418400,361,0,0,0,0,99.86,84.00,0,0,0
6,1558420200,361,0,0,97.00,0,98.01,113.02,0,36.00,53.00
7,1558422000,361,0,0,70.15,0,10.52,4.83,0,0,15.59
8,1558423800,361,0,0,142.00,0,139.30,96.08,0,0,185.00
9,1558425600,361,0,0,49.36,0,24.69,152.42,0,0,55.43
10,1558427400,361,0,63.91,29.50,24.75,26.79,7.14,0,153.00,72.00
11,1558429200,361,0,138.59,0,169.00,46.04,118.79,0,0,0
12,1558431000,361,0,84.07,0,122.33,4.54,46.87,0,0,0
13,1558432800,361,0,54.00,0,0,0,87.00,0,0,0
14,1558434600,361,0,145.97,0,0,0,52.04,27.19,73.00,0
15,1558436400,361,0,6.36,0,0,0,2.07,107.56,0,0
16,1558438200,361,0,21.43,0,0,0,22.19,136.72,0,0
17,1558440000,361,0,0,0,0,0,0,123.64,0,0
18,1558441800,361,22.26,0,41.50,66.47,0,0,143.00,17.00,21.50
19,1558443600,361,33.50,0,70.15,28.00,0,0,164.53,0,168.01
20,1558445400,361,31.11,0,51.00,86.27,0,0,12.14,0,158.00
21,1558447200,361,11.26,0,135.10,0,0,0,105.80,0,91.80
22,1558449000,361,86.93,0,24.50,0,0,0,57.48,45.00,39.00
23,1558450800,361,164.00,0,0,0,0,0,0,0,0
24,1558452600,361,81.14,0,0,0,0,0,0,0,0
25,1558454400,361,159.35,0,0,0,0,0,0,0,0
26,1558456200,361,72.83,43.63,0,114.55,0,0,0,3.00,0
27,1558458000,361,49.50,126.57,0,66.00,0,0,0,0,0
28,1558459800,361,50.99,179.23,0,65.76,0,0,0,0,0
29,1558461600,361,0,144.00,0,0,0,0,0,0,0
30,1558463400,361,0,176.46,64.00,0,0,0,0,1.00,93.00
31,1558465200,361,0,74.95,49.36,0,0,0,0,0,172.34
32,1558467000,361,0,6.89,145.00,0,0,0,0,0,81.00
33,1558468800,361,0,0,49.36,0,0,0,0,0,80.54
34,1558470600,361,0,0,32.00,25.46,2.97,0,43.57,78.00,14.50
35,1558472400,361,0,0,0,31.00,41.10,0,83.47,0,0
36,1558474200,361,0,0,0,14.14,59.47,0,40.45,0,0
37,1558476000,361,0,0,0,0,9.99,0,76.08,0,0
38,1558477800,361,0,0,0,0,120.92,0,146.00,121.00,0
39,1558479600,361,0,0,0,0,115.69,0,30.43,0,0
40,1558481400,361,0,0,0,0,66.83,0,90.61,0,0
